Month,CR Austin,CR Dallas
2012-02-29,,
2012-03-31,,
2012-04-30,,
2012-05-31,,
2012-06-30,,
2012-07-31,,
2012-08-31,,
2012-09-30,,
2012-10-31,,
2012-11-30,,
2012-12-31,,
2013-01-31,82,
2013-02-28,82,
2013-03-31,87,
2013-04-30,85,
2013-05-31,87,
2013-06-30,87,
2013-07-31,87,
2013-08-31,87,
2013-09-30,86,
2013-10-31,86,
2013-11-30,84,
2013-12-31,84,
2014-01-31,83,
2014-02-28,84,
2014-03-31,89,
2014-04-30,88,
2014-05-31,89,
2014-06-30,89,
2014-07-31,90,
2014-08-31,89,
2014-09-30,89,
2014-10-31,88,
2014-11-30,87,
2014-12-31,86,
2015-01-31,85,
2015-02-28,86,
2015-03-31,89,
2015-04-30,88,
2015-05-31,89,
2015-06-30,89,
2015-07-31,88,
2015-08-31,88,
2015-09-30,87,
2015-10-31,86,
2015-11-30,85,
2015-12-31,84,
2016-01-31,83,
2016-02-29,84,
2016-03-31,88,
2016-04-30,87,
2016-05-31,88,
2016-06-30,87,
2016-07-31,87,
2016-08-31,85,
2016-09-30,84,
2016-10-31,82,
2016-11-30,81,
2016-12-31,79,
2017-01-31,70,
2017-02-28,80,
2017-03-31,83,
2017-04-30,83,
2017-05-31,83,
2017-06-30,82,
2017-07-31,81,
2017-08-31,79,
2017-09-30,78,
2017-10-31,76,
2017-11-30,74,
2017-12-31,71,
2018-01-31,70,
2018-02-28,70,
2018-03-31,76,
2018-04-30,79,
2018-05-31,76,
2018-06-30,79,
2018-07-31,79,
2018-08-31,76,
2018-09-30,75,
2018-10-31,72,
2018-11-30,70,
2018-12-31,68,
2019-01-31,68,
2019-02-28,68,
2019-03-31,80,
2019-04-30,78,
2019-05-31,80,
2019-06-30,80,
2019-07-31,79,
2019-08-31,79,
2019-09-30,79,
2019-10-31,78,
2019-11-30,77,
2019-12-31,75,
2020-01-31,75,
2020-02-29,75,
2020-03-31,83,
2020-04-30,81,
2020-05-31,83,
2020-06-30,83,
2020-07-31,83,
2020-08-31,82,
2020-09-30,82,
2020-10-31,79,
2020-11-30,74,
2020-12-31,71,
2021-01-31,71,
2021-02-28,72,
2021-03-31,79,
2021-04-30,78,
2021-05-31,79,
2021-06-30,79,
2021-07-31,77,
2021-08-31,76,
2021-09-30,74,
2021-10-31,72,
2021-11-30,69,
2021-12-31,67,
2022-01-31,67,
2022-02-28,67,
2022-03-31,76,
2022-04-30,73,
2022-05-31,76,
2022-06-30,76,
2022-07-31,73,
2022-08-31,68,
2022-09-30,59,
2022-10-31,53,
2022-11-30,,
2022-12-31,,
